Records,Type,Value,
pas.va,MX,mx11.vatican.va,
pas.va,MX,mx12.vatican.va,
pas.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
pass.va,MX,mx11.vatican.va,
pass.va,MX,mx12.vatican.va,
pass.va,TXT,google-site-verification=NaVyhgHt9Agv4RPayMkbVWkevNer6rt5apBdreDJSso,
pass.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
past.va,MX,mx11.vatican.va,
past.va,MX,mx12.vatican.va,
past.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
patheologica.va,MX,mx11.vatican.va,
patheologica.va,MX,mx12.vatican.va,
patheologica.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
patrons.va,MX,mx11.vatican.va,
patrons.va,MX,mx12.vatican.va,
patrons.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
pcchc.va,MX,mx11.vatican.va,
pcchc.va,MX,mx12.vatican.va,
pcchc.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
pcpne.va,MX,mx11.vatican.va,
pcpne.va,MX,mx12.vatican.va,
pcpne.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
penitenzieria.va,MX,mx11.vatican.va,
penitenzieria.va,MX,mx12.vatican.va,
penitenzieria.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
peregrinatio.va,MX,mx11.vatican.va,
peregrinatio.va,MX,mx12.vatican.va,
petrus.va,MX,mx11.vatican.va,
petrus.va,MX,mx12.vatican.va,
petrus.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
photo.va,NS,ns-ext-01.spc.va,
photo.va,NS,ns-ext-02.spc.va,
photo.va,NS,spc03.glauco.it,
photo.va,SOA,ns-ext-01.spc.va. hostmaster.spc.va. 202103170 900 1814400 10800,
photo.vaticanmedia.va,A,185.152.70.69,
photogallery.va,TXT,google-site-verification=9nPnrfPZ3nkgrNmjIJSZDLN5xah67TWbBfONHVPO3Ng,
pietro.spc.va,A,185.152.69.2,
pmva1.vatican.va,A,212.77.6.81,
pmva1.vatican.va,AAAA,2a01:b8:0:1:212:77:6:81,
pmva1.vatican.va,MX,pmva1.vatican.va,
pmva2.vatican.va,A,212.77.6.82,
pmva2.vatican.va,AAAA,2a01:b8:0:1:212:77:6:82,
pmva2.vatican.va,MX,pmva2.vatican.va,
pmx.vatican.va,A,212.77.6.63,
pmx.vatican.va,AAAA,2a01:b8:0:1:212:77:6:63,
pmx.vatican.va,MX,pmx.vatican.va,
poim.va,MX,mx11.vatican.va,
poim.va,MX,mx12.vatican.va,
poim.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
popesprayer.va,A,212.77.5.15,
popesprayer.va,MX,mx11.vatican.va,
popesprayer.va,MX,mx12.vatican.va,
popesprayer.va,TXT,_globalsign-domain-verification=zUSP4MvzN8_1_Tk1Ocpb_7hjXdPeH4GWZ1efUuU8bq,
popesprayer.va,TXT,google-site-verification=r4s5lRwFRWPx03jPRb9J2D4LDFGYaecPo6y5czExK5o,
popesprayer.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
portal.ior.va,A,212.77.12.8,
pospa.va,MX,mx11.vatican.va,
pospa.va,MX,mx12.vatican.va,
pospa.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
posta.vatican.va,CNAME,imta.vatican.va,
postino.vatican.va,CNAME,irvp-76-vatican.catholica.va,
ppoomm.va,MX,mx11.vatican.va,
ppoomm.va,MX,mx12.vatican.va,
ppoomm.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
ppoomm.va,TXT,wMfs62nbcxbjZ3Uxas1aJ18FmxjfK2BVAqWZ++p+CMc=,
press-disp.spc.va,A,185.152.70.35,
press.catholica.va,CNAME,wcm.catholica.va,
press.vatican-stg.va,CNAME,wcm-stg.catholica.va.,
press.vatican.va,CNAME,press-vatican.azureedge.net,
pressoffice.va,MX,mx11.vatican.va,
pressoffice.va,MX,mx12.vatican.va,
pressoffice.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
pressva.va,MX,mxgw-01.spc.va,
pressva.va,MX,mxgw-02.spc.va,
pressva.va,NS,ns-ext-01.spc.va,
pressva.va,NS,ns-ext-02.spc.va,
pressva.va,NS,spc03.glauco.it,
pressva.va,SOA,ns-ext-01.spc.va. hostmaster.spc.va. 202009020 900 1814400 10800,
pressva.va,TXT,v=spf1MX|a:mail.spc.va|a:mxgw-master.spc.va|a:mxgw-01.spc.va|a:mxgw-02.spc.va|-all,
profide.va,MX,mx11.vatican.va,
profide.va,MX,mx12.vatican.va,
profide.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
projects.catholica.va,CNAME,irvproxy.catholica.va,
projects.oessh.va,CNAME,irvp-103-oessh.catholica.va,
propagandafide.va,MX,mx11.vatican.va,
propagandafide.va,MX,mx12.vatican.va,
propagandafide.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
propagandafide.va,TXT,wMfs62nbcxbjZ3Uxas1aJ18FmxjfK2BVAqWZ++p+CMc=,
propfidei.va,MX,mx11.vatican.va,
propfidei.va,MX,mx12.vatican.va,
propfidei.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
psiv.catholica.va,CNAME,irvproxy.catholica.va,
publish.va,MX,mx11.vatican.va,
publish.va,MX,mx12.vatican.va,
publish.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
r.spclists.va,A,185.152.70.138,
raffaele.catholica.va,A,212.77.2.181,
rassegna.spc.va,A,185.241.65.65,
register-stg.wyd.va,CNAME,irvp-110-wyd-staging.catholica.va,
register.wyd.va,CNAME,irvp-111-wyd.catholica.va,
religiosi.va,MX,mx11.vatican.va,
religiosi.va,MX,mx12.vatican.va,
religiosi.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
relstat-segstat.va,MX,mx11.vatican.va,
relstat-segstat.va,MX,mx12.vatican.va,
relstat-segstat.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
rotaromana.va,MX,mx11.vatican.va,
rotaromana.va,MX,mx12.vatican.va,
rotaromana.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
rs.dsscv.va,A,212.77.14.8,
rss.vatican-stg.va,CNAME,iwc2.vatican-stg.va.,
rss.vatican.va,CNAME,wcm-disp.spc.va,
rv.va,NS,ns-ext-01.spc.va,
rv.va,NS,ns-ext-02.spc.va,
rv.va,NS,spc03.glauco.it,
rvl.vaticanmedia.va,A,185.152.70.74,
rvproxy-inter.spc.va,A,185.152.70.79,
rvproxy-inter.spc.va,A,185.152.70.79,
rvproxy-inter.spc.va,A,185.152.70.79,
rvproxy-inter.spc.va,A,185.152.70.79,
salastampa.va,MX,mxgw-01.spc.va,
salastampa.va,MX,mxgw-02.spc.va,
salastampa.va,NS,ns-ext-01.spc.va,
salastampa.va,NS,ns-ext-02.spc.va,
salastampa.va,NS,spc03.glauco.it,
salastampa.va,SOA,ns-ext-01.spc.va. hostmaster.spc.va. 202103170 900 1814400 10800,
salastampa.va,TXT,globalsign-domain-verification=eXhWGo2wZ-m487gbpQWbAvDQCvkz8pGfRr3hDdCWIL,
salastampa.va,TXT,Nwdb5j8GJTaWqE2qj+RnsZHeZ6VBmfGGF3O+iPGpGPg=,
salastampa.va,TXT,v=spf1MX|a:mail.spc.va|a:mxgw-master.spc.va|a:mxgw-01.spc.va|a:mxgw-02.spc.va|-all,
santanna.va,MX,mx11.vatican.va,
santanna.va,MX,mx12.vatican.va,
santanna.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
scador.catholica.va,CNAME,irvproxy.catholica.va,
scavi.va,MX,mx11.vatican.va,
scavi.va,MX,mx12.vatican.va,
scavi.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
scienstor.va,MX,mx11.vatican.va,
scienstor.va,MX,mx12.vatican.va,
scienstor.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
scv.va,MX,mx11.vatican.va,
scv.va,MX,mx12.vatican.va,
scv.va,TXT,cisco-ci-domain-verification=354c3e85a5dc98e2d3b1a906a445370fcf4df2d31fa2d7706f897d11e0b967aa,
scv.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
sds.va,MX,mx11.vatican.va,
sds.va,MX,mx12.vatican.va,
sds.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
secarch.va,MX,mx11.vatican.va,
secarch.va,MX,mx12.vatican.va,
secarch.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
segstat.va,MX,mx11.vatican.va,
segstat.va,MX,mx12.vatican.va,
segstat.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
sentry-devel.spc.va,A,212.77.12.104,
service-stg.wyd.va,CNAME,irvp-110-wyd-staging.catholica.va,
service.wyd.va,CNAME,irvp-112-wyd-bo.catholica.va,
servizi.fas.va,TXT,_globalsign-domain-verification=h2FBDt_yI2IAODB9VVtSE-X6bB3TCg-lld0J5ZvIw0,
servizi.fas.va,A,212.77.4.106,
servizi.gov.va,A,212.77.4.83,
servizi.gov.va,TXT,globalsign-domain-verification=GdjLeoHoeiZZql67aVS9QE2pnR75mf2O95smcPnELA,
sfboos.sigri.va,A,212.77.4.156,
sfbpool.sigri.va,A,212.77.4.155,
shar.e.va,A,185.152.70.199,
shop-stg.museivaticani.va,CNAME,irvproxy-ngx.catholica-stg.va,
shop-test.museivaticani.va,CNAME,vportal.catholica.va,
shop.museivaticani.va,CNAME,irvp-89-mvshop.catholica.va,
shop.villepontificie.va,TXT,globalsign-domain-verification=6cVEsRrLu0yWlXV2-LzBuLLF9t03tjm9sXdfOZ2gJg,
shop.villepontificie.va,A,212.77.4.72,
sigri.apsa.va,CNAME,irvp-68-sigri-apsa.catholica.va,
sigri.va,TXT,_globalsign-domain-verification=jee0FRItCKXCdjrxrul3cG5pBM6tM0omqJHZJ0HMCD,
sigri.va,TXT,google-site-verification=0ooSx6Qg_IEIjh0FGfSJKaeuLn95rBiFkijkDUtEpP4,
simone.spc.va,A,185.152.69.146,
sip.sigri.va,A,212.77.4.152,
sip.sigri.va,A,212.77.4.157,
sistinechapel.va,CNAME,mv.vatican.va,
sixtinischekapelle.va,CNAME,mv.vatican.va,
smtp-out.caritas.va,A,212.77.12.118,
smtp.catholica-stg.va,CNAME,imta.catholica-stg.va.,
smtp.vatican.va,CNAME,michael.vatican.va,
spc.va,SOA,ns-ext-01.spc.va.,
spc.va,NS,ns-ext-02.spc.va.,
spc.va,NS,ns-ext-01.spc.va.,
spc.va,NS,spc03.glauco.it.,
spc.va,MX,mxgw-01.spc.va.,
spc.va,MX,mxgw-02.spc.va.,
spc.va,TXT,globalsign-domain-verification=gUwXlQIAIDcM-tmm8PH-tNthYlBkPlQmaY5-XE7Yol,
spc.va,TXT,iD3sOMQAzF9tW5tnsQhb/6G2nN6HIof4eD24Ih9vOc0=,
spc.va,TXT,v=spf1 mx a:mail.spc.va a:mxgw-master.spc.va a:mxgw-01.spc.va a:mxgw-02.spc.va -all,
spc.va,TXT,ZOOM_verify_yL4aj-0vRS6f2SRxOYskWg,
spc.va,TXT,apple-domain-verification=Wgj6yUWW0LIu01Du,
spclists.va,MX,mx-11.spclists.va,
spclists.va,NS,ns-ext-01.spc.va,
spclists.va,NS,ns-ext-02.spc.va,
spclists.va,NS,spc03.glauco.it,
spclists.va,SOA,ns-ext-01.spc.va. hostmaster.spc.va. 201910180 900 1814400 10800,
spclists.va,TXT,g3KLQ+qu7Nx+qfnvxmxxzvEiHK9nPUYcjmDk4ngF0f0=,
spclists.va,TXT,v=spf1MX|a:mx-11.spclists.va|-all,
specola.va,MX,mx11.vatican.va,
specola.va,MX,mx12.vatican.va,
specola.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
spv-upu.postevaticane.va,A,212.77.5.13,
src.catholica.va,A,212.77.1.211,
srom.vatican.va,A,212.77.1.26,
stat.vatican.va,CNAME,vportal.catholica.va,
static-stg.museivaticani.va,CNAME,irvproxy-ngx.catholica-stg.va,
static.museivaticani.va,CNAME,irvp-89-mvshop.catholica.va,
statistica.va,MX,mx11.vatican.va,
statistica.va,MX,mx12.vatican.va,
statistica.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
stream1.vatican.va,A,212.77.7.134,
stun.vatican.va,A,212.77.4.200,
support.catholica.va,CNAME,irvproxy-ngx.catholica.va,
supportoposta.vatican.va,A,212.77.4.42,
swisscdo.va,MX,mx11.vatican.va,
swisscdo.va,MX,mx12.vatican.va,
swisscdo.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
swissgrd.va,MX,mx11.vatican.va,
swissgrd.va,MX,mx12.vatican.va,
synod.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
synod14.vatican.va,CNAME,iwc2.vatican.va,
synod15.vatican.va,CNAME,iwc2.vatican.va,
t.va,CNAME,irvproxy.catholica.va,
telef.va,MX,mx11.vatican.va,
telef.va,MX,mx12.vatican.va,
telef.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
term.pos.va,A,212.77.3.9,
test-ior.spc.va,A,185.152.70.62,
test.aif-goaml.va,A,212.77.12.198,
teutonico.va,MX,mx11.vatican.va,
teutonico.va,MX,mx12.vatican.va,
teutonico.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
thepopevideo.va,TXT,_globalsign-domain-verification=yYYCBozJvlhkrih7mknAgH4T_0BKJWrT4BurNlFJoH,
thepopevideo.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
tickets-stg.museivaticani.va,A,212.77.4.107,
tickets.museivaticani.va,A,212.77.4.108,
tommaso.spc.va,A,185.152.69.1,
tribrota.va,MX,mx11.vatican.va,
tribrota.va,MX,mx12.vatican.va,
tribrota.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
tribsgna.va,MX,mx11.vatican.va,
tribsgna.va,MX,mx12.vatican.va,
tribsgna.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
ts.catholica.va,A,212.77.4.95,
turn.vatican.va,A,212.77.4.200,
tutelaminorum.va,MX,mx11.vatican.va,
tutelaminorum.va,MX,mx12.vatican.va,
tutelaminorum.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
ufn.va,MX,mx11.vatican.va,
ufn.va,MX,mx12.vatican.va,
ufn.va,TXT,_globalsign-domain-verification=rsGpvqj7P_aiPA7_JH3n-jIJM38Mk7sVJf45yrokeg,
ufn.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
ulsa.va,MX,mx11.vatican.va,
ulsa.va,MX,mx12.vatican.va,
ulsa.va,TXT,google-site-verification=z-TD7Anm2idTRPf4UFJxibIluKLRoZ-IlzpXAyVNobo,
ulsa.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
va,SOA,john.vatican.va. postmaster.vatican.va. ,
va,NS,john.vatican.va,
va,NS,osiris.namex.it,
va,NS,va.cctld.authdns.ripe.net,
va,NS,michael.vatican.va,
va,NS,dns.nic.it,
va,NS,seth.namex.it,
va,AAAA,2a01:b8:0:1:212:77:0:2,
va,AAAA,2a01:b8:0:1:212:77:0:110,
vatican.va,MX,mx11.vatican.va,
vatican.va,MX,mx12.vatican.va,
vatican.va,NS,john.vatican.va,
vatican.va,NS,michael.vatican.va,
vatican.va,NS,ns2.nic.it,
vatican.va,NS,osiris.namex.it,
vatican.va,NS,seth.namex.it,
vatican.va,SOA,john.vatican.va. postmaster.vatican.va. 2020122901 1440 1209600 3600,
vatican.va,TXT,globalsign-domain-verification=8rsECp3MGYt5QN3XY8uoHYRogqyzoOFEu4qpxglVs_,
vatican.va,TXT,google-site-verification=xJIGtooD1R7HCcYnGpEnQJbesRSBdJmzNZX0WLDIMII,
vatican.va,TXT,qZudITCslr0iehQZGvmCMAudIoMx0B6R5qAN4D3hPKw=,
vatican.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
vaticanlibrary.va,TXT,_globalsign-domain-verification=jFx08sFIsoQE69yB3FtiMPqw6mussyEiuVjRRQQKel,
vaticannews.va,A,185.152.70.47,
vaticannews.va,MX,mxgw-01.spc.va,
vaticannews.va,MX,mxgw-02.spc.va,
vaticannews.va,NS,ns-ext-01.spc.va,
vaticannews.va,NS,ns-ext-02.spc.va,
vaticannews.va,NS,spc03.glauco.it,
vaticannews.va,SOA,ns-ext-01.spc.va. hostmaster.spc.va. 2021032500 1440 1814400 10800,
vaticannews.va,TXT,v=spf1MX|a:mail.spc.va|a:mxgw-master.spc.va|a:mxgw-01.spc.va|a:mxgw-02.spc.va|-all,
vaticannews.va,TXT,XxV3vHyIFJaGFBc8zicpc2XntcSPaUdFJwxzKFlJXCQ=,
vaticanobservatory.va,MX,mx11.vatican.va,
vaticanobservatory.va,MX,mx12.vatican.va,
vaticanobservatory.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
vaticanstate.va,A,212.77.4.171,
vaticloud.spc.va,CNAME,rvproxy-inter.spc.va.,
vaticloud.vatican-stg.va,CNAME,irvp-40-vaticloud-stg.catholica.va.,
vaticloud.vatican.va,CNAME,irvp-50-vaticloud.catholica.va,
vatlib.va,MX,mx11.vatican.va,
vatlib.va,MX,mx12.vatican.va,
vatlib.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
vc.vatican.va,CNAME,irvp-50-vaticloud.catholica.va,
vcloud.catholica.va,CNAME,irvproxy.catholica.va,
vicariate.va,MX,mx11.vatican.va,
vicariate.va,MX,mx12.vatican.va,
vicariate.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
vicariato.va,MX,mx11.vatican.va,
vicariato.va,MX,mx12.vatican.va,
vicariato.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
videoconf.telefonivaticani.va,A,212.77.10.12,
vod1.vatican.va,A,212.77.7.132,
vod4.vatican.va,A,212.77.7.136,
vpn-01.catholica.va,A,212.77.5.27,
vpn-02.catholica.va,A,212.77.5.50,
vpn-03.catholica.va,A,212.77.5.51,
vpn-04.catholica.va,A,212.77.5.52,
vpnossromtipografia.vpn.va,A,212.77.5.107,
vportal.catholica-stg.va,CNAME,irvproxy-staging.catholica.va.,
vportal.catholica.va,CNAME,irvp-77.catholica.va,
vseat.spc.va,A,185.152.70.190,
w2.vatican.va,CNAME,wcm-disp.spc.va,
wcm-author.catholica.va,CNAME,vportal.catholica.va,
wcm-disp.spc.va,A,185.152.70.33,
wcm-stg.catholica.va,A,212.77.4.80,
wcm-stg.catholica.va,A,212.77.4.80,
wcm-ulsa.catholica.va,A,212.77.4.71,
wcm.catholica.va,A,212.77.4.79,
wcmdevel-author.catholica.va,CNAME,vportal.catholica.va,
wcmstaging-author.catholica.va,CNAME,vportal.catholica.va,
web.spclists.va,CNAME,mx-11.spclists.va.,
webconf.sigri.va,A,212.77.4.153,
webconf.sigri.va,A,212.77.4.158,
webmail.caritas.va,A,212.77.12.116,
webmail.dsscv.va,A,212.77.14.5,
whois.catholica.va,CNAME,irvproxy.catholica.va,
widgets.vatican.va,CNAME,wcm-disp.spc.va,
wms.catholica.va,CNAME,idispatcher.catholica.va,
www-01.catholica.va,A,212.77.4.78,
www-02.catholica.va,A,212.77.4.81,
www-04.catholica.va,A,212.77.4.84,
www-05.catholica.va,A,212.77.4.85,
www.academiadelasciencias.va,CNAME,cu-disp.spc.va,
www.academyforlife.va,CNAME,cu-disp.spc.va,
www.academyofsciences.va,CNAME,cu-disp.spc.va,
www.accademiascienze.va,CNAME,cu-disp.spc.va,
www.acdf.va,CNAME,cu-disp.spc.va,
www.aif-goaml.va,A,212.77.12.197,
www.aif.va,A,212.77.12.196,
www.americalatina.va,CNAME,cu-disp.spc.va,
www.annuarium.va,TXT,_globalsign-domain-verification=_ZvwXdEF7KzeU2AVrID51oljxc4pwkNnM-8qvj27ye,
www.annuarium.va,A,212.77.4.69,
www.annusfidei.va,CNAME,cu-disp.spc.va,
www.apnic.va,CNAME,cu-disp.spc.va,
www.archivioapostolicovaticano.va,CNAME,cu-disp.spc.va,
www.archivioradiovaticana.va,CNAME,archiviorv.azurefd.net,
www.archiviosegretovaticano.va,CNAME,cu-disp.spc.va,
www.archiviostoricopropaganda.va,CNAME,cu-disp.spc.va,
www.astronomy2009.va,CNAME,vportal.catholica.va,
www.asv.va,CNAME,idispatcher.catholica.va,
www.avepro.va,CNAME,irvproxy-ngx.catholica.va,
www.bandipubblici.va,A,185.152.70.40,
www.bandipubblicigovernatorato.va,A,212.77.4.29,
www.camposanto.va,CNAME,cu-disp.spc.va,
www.camposantoteutonico.va,CNAME,cu-disp.spc.va,
www.capillasixtina.va,CNAME,mv.vatican.va,
www.cappellamusicalepontificia.va,CNAME,cu-disp.spc.va,
www.cappellasistina.va,CNAME,mv.vatican.va,
www.casinapioiv.va,CNAME,cu-disp.spc.va,
www.catacombeditalia.va,CNAME,cu-disp.spc.va,
www.catholiceducation.va,CNAME,cu-disp.spc.va,
www.causesanti.va,CNAME,cms-disp.spc.va,
www.cce.va,CNAME,cu-disp.spc.va,
www.centesimusannus.va,CNAME,cu-disp.spc.va,
www.cfn.va,A,212.77.4.31,
www.cfn.va,TXT,_globalsign-domain-verification=yFbch6Ln1RLDdPuH7K1ppDuC9mLEcv5Eq3NnntgVx6,
www.chapellesixtine.va,CNAME,mv.vatican.va,
www.christianunity.va,CNAME,cu-disp.spc.va,
www.cimiteroteutonico.va,CNAME,cu-disp.spc.va,
www.cir.va,CNAME,cu-disp.spc.va,
www.clerus.va,CNAME,cu-disp.spc.va,
www.collegioteutonico.va,CNAME,cu-disp.spc.va,
www.congregationconsecratedlife.va,CNAME,cu-disp.spc.va,
www.congregazionevescovi.va,CNAME,cu-disp.spc.va,
www.congregazionevitaconsacrata.va,CNAME,cu-disp.spc.va,
www.congressieucaristici.va,CNAME,cu-disp.spc.va,
www.corunum.va,CNAME,cu-disp.spc.va,
www.ctv.va,CNAME,cms-disp.spc.va,
www.cultodivino.va,CNAME,cu-disp.spc.va,
www.cultura.va,CNAME,cu-disp.spc.va,
www.delegumtextibus.va,CNAME,cu-disp.spc.va,
www.deutscherfriedhof.va,CNAME,cu-disp.spc.va,
www.dispensariosantamarta.va,CNAME,cu-disp.spc.va,
www.dsi.va,A,212.77.4.27,
www.ecosic.va,CNAME,cu-disp.spc.va,
www.educatio.va,CNAME,cu-disp.spc.va,
www.education.va,CNAME,cu-disp.spc.va,
www.elemosineria.va,A,212.77.4.104,
www.endslavery.va,CNAME,cu-disp.spc.va,
www.enic.va,CNAME,cu-disp.spc.va,
www.erzbruderschaft.va,CNAME,cu-disp.spc.va,
www.eym.va,CNAME,www.popesprayer.va,
www.famiglia.va,CNAME,irvproxy-ngx.catholica.va,
www.familia.va,CNAME,irvproxy-ngx.catholica.va,
www.famille.va,CNAME,irvproxy-ngx.catholica.va,
www.family.va,CNAME,irvproxy-ngx.catholica.va,
www.farmaciavaticana.va,A,212.77.4.47,
www.fas.va,CNAME,cu-disp.spc.va,
www.fas.va,CNAME,cu-disp.spc.va.,
www.fondazioneratzinger.va,CNAME,cu-disp.spc.va,
www.fondazionevaticanagpi.va,CNAME,cms-disp.spc.va,
www.fratellitutti.va,CNAME,cms-disp.spc.va,
www.fundacionratzinger.va,CNAME,idispatcher.catholica.va,
www.gardesuisse.va,CNAME,idispatcher.catholica.va,
www.gerechtigkeitundfrieden.va,CNAME,cu-disp.spc.va,
www.giovannipaoloii.va,CNAME,www.vatican.va,
www.giubileodellamisericordia.va,CNAME,cu-disp.spc.va,
www.giustiziaepace.va,CNAME,cu-disp.spc.va,
www.guardiasvizzera.va,CNAME,idispatcher.catholica.va,
www.highereducation.va,CNAME,cu-disp.spc.va,
www.historia.va,CNAME,cu-disp.spc.va,
www.holysepulchre.va,CNAME,cu-disp.spc.va,
www.humandevelopment.va,CNAME,cms-disp-s.spc.va,
www.im.va,CNAME,cu-disp.spc.va,
www.intermirifica50.va,CNAME,idispatcher.catholica.va,
www.ior.va,CNAME,cu-disp.spc.va,
www.irc.va,CNAME,cu-disp.spc.va,
www.iubilaeummisericordiae.va,CNAME,cu-disp.spc.va,
www.iustitiaetpax.va,CNAME,cu-disp.spc.va,
www.jubilaumderbarmherzigkeit.va,CNAME,cu-disp.spc.va,
www.jubileeofmercy.va,CNAME,cu-disp.spc.va,
www.jubileuszmilosierdzia.va,CNAME,cu-disp.spc.va,
www.justiceandpeace.va,CNAME,cu-disp.spc.va,
www.justiceetpaix.va,CNAME,cu-disp.spc.va,
www.justpax.va,CNAME,cu-disp.spc.va,
www.laici.va,CNAME,cu-disp.spc.va,
www.laicos.va,CNAME,cu-disp.spc.va,
www.laity.va,CNAME,cu-disp.spc.va,
www.laityfamilylife.va,CNAME,cu-disp.spc.va,
www.latinitas.va,CNAME,cu-disp.spc.va,
www.laudatosi.va,CNAME,cu-disp.spc.va,
